7853163: Which lab section are you in?,1,7853164: What department or program are you in?,1,7853165: What is your age in years?,1,7853132: Have you taken a statistics course before?,1,7853133: How many statistics courses have you taken?,1,7853135: What is your level of experience with statistics,1,7853136: How confident do you feel in your ability to learn statistics over the course of this class?,1,7853137: What is your level of experience with programming?,1,7853134: Have you used R before?,1,7853138: What is your level of experience with R?,1,7853144: How confident do you feel in your ability to learn to program/script in R over the course of this class?,1,7853161: What are your goals for using the statistical knowledge you learning in this course (check all that apply)?,1,7853162: Do you like pineapple on pizza?,1
"Friday 9:00-11:00 am (section 303, Jamie Jiwon Lee) in Brogden 138",0,Data Science in Human Behaviors,0,25,0,Yes,1,2,0,3,0,4,0,3,0,Yes,1,2,0,4,0,"For my own industry research/work,To better understand and engage with the research literature",0,No,0
"Friday 1:30-3:30 pm (section 302, Shanti Astra) Brogden 228",0,Data Science in Human Behavior,0,27,0,Yes,1,1,0,3,0,4,0,2,0,Yes,1,2,0,4,0,"For my own industry research/work,To fulfill a program requirement,To better understand and engage with the research literature,For fun",0,Yes,1
"Friday 1:30-3:30 pm (section 302, Shanti Astra) Brogden 228",0,Data science of human behavior,0,23,0,Yes,1,1,0,2,0,2,0,1 - None at all,1,No,0,1 - None at all,1,2,0,"To fulfill a program requirement,To better understand and engage with the research literature,For fun",0,No,0
"Friday 9:00-11:00 am (section 303, Jamie Jiwon Lee) in Brogden 138",0,Neuroscience,0,24,0,Yes,1,1 (in undergrad),0,2,0,3,0,4,0,Yes,1,2,0,4,0,For my own academic research,1,Yes,1
"Friday 9:00-11:00 am (section 303, Jamie Jiwon Lee) in Brogden 138",0,Data science in human behaviors,0,22,0,Yes,1,4,0,4,0,5 - Very confident,0,4,0,Yes,1,4,0,5 - Very confident,0,For my own academic research,1,Yes,1
"Friday 9:00-11:00 am (section 301, Coco Yu) in Brogden 228",1,Developmental Psychology PhD,0,24,0,Yes,1,2,0,3,0,3,0,1 - None at all,1,Yes,1,3,0,4,0,"For my own academic research,For my own industry research/work,To fulfill a program requirement,To better understand and engage with the research literature",0,Yes,1
"Friday 9:00-11:00 am (section 303, Jamie Jiwon Lee) in Brogden 138",0,Data Science in Human Behavior,0,29,0,Yes,1,1,0,2,0,3,0,2,0,No,0,1 - None at all,1,3,0,"For my own academic research,For my own industry research/work,To fulfill a program requirement,To better understand and engage with the research literature",0,Yes,1
"Friday 9:00-11:00 am (section 301, Coco Yu) in Brogden 228",1,Psychology,0,25,0,Yes,1,1,0,2,0,4,0,2,0,Yes,1,2,0,3,0,"For my own academic research,To fulfill a program requirement",0,No,0
"Friday 9:00-11:00 am (section 303, Jamie Jiwon Lee) in Brogden 138",0,Psychology: Human Behavioral Data Science,0,22,0,Yes,1,3,0,2,0,2,0,1 - None at all,1,No,0,1 - None at all,1,2,0,"For my own academic research,For my own industry research/work,To fulfill a program requirement",0,No,0
"Friday 9:00-11:00 am (section 301, Coco Yu) in Brogden 228",1,Psychology PhD,0,23,0,Yes,1,1,0,2,0,4,0,2,0,Yes,1,2,0,4,0,"For my own academic research,To fulfill a program requirement,To better understand and engage with the research literature",0,No,0
"Friday 9:00-11:00 am (section 303, Jamie Jiwon Lee) in Brogden 138",0,Neuroscience Training Program; Department of Psychiatry,0,24,0,Yes,1,1,0,2,0,4,0,3,0,Yes,1,2,0,4,0,"For my own academic research,To fulfill a program requirement,To better understand and engage with the research literature",0,Yes,1
"Friday 9:00-11:00 am (section 301, Coco Yu) in Brogden 228",1,Data Science In Human Behavior M.S,0,22,0,Yes,1,2,0,2,0,4,0,1 - None at all,1,No,0,1 - None at all,1,4,0,"For my own academic research,For my own industry research/work",0,No,0
"Friday 1:30-3:30 pm (section 302, Shanti Astra) Brogden 228",0,Data science in human behavior,0,24,0,Yes,1,~4,0,3,0,5 - Very confident,0,2,0,Yes,1,3,0,5 - Very confident,0,"For my own academic research,For my own industry research/work,To fulfill a program requirement,To better understand and engage with the research literature,For fun",0,Yes,1
"Friday 1:30-3:30 pm (section 302, Shanti Astra) Brogden 228",0,Data Science in Human Behavior,0,23,0,Yes,1,2,0,3,0,4,0,2,0,Yes,1,3,0,5 - Very confident,0,"For my own academic research,To fulfill a program requirement",0,No,0
"Friday 9:00-11:00 am (section 301, Coco Yu) in Brogden 228",1,Psychology,0,23,0,Yes,1,1,0,2,0,3,0,1 - None at all,1,No,0,1 - None at all,1,3,0,"For my own academic research,To better understand and engage with the research literature",0,Yes,1
"Friday 9:00-11:00 am (section 301, Coco Yu) in Brogden 228",1,Data Science in Human Behavior,0,21,0,Yes,1,3,0,3,0,5 - Very confident,0,2,0,Yes,1,2,0,5 - Very confident,0,"For my own academic research,For my own industry research/work,To fulfill a program requirement,To better understand and engage with the research literature",0,Yes,1
"Friday 1:30-3:30 pm (section 302, Shanti Astra) Brogden 228",0,Neuroscience,0,25,0,Yes,1,1,0,2,0,4,0,4,0,Yes,1,3,0,5 - Very confident,0,"For my own academic research,To fulfill a program requirement,To better understand and engage with the research literature",0,Yes,1
"Friday 9:00-11:00 am (section 301, Coco Yu) in Brogden 228",1,Developmental Psychology Doctoral,0,21,0,Yes,1,1,0,2,0,5 - Very confident,0,2,0,Yes,1,2,0,5 - Very confident,0,"For my own academic research,To better understand and engage with the research literature,For fun",0,No,0
"Friday 1:30-3:30 pm (section 302, Shanti Astra) Brogden 228",0,"OTD-PhD program, Department of Kinesiology",0,25,0,Yes,1,2,0,2,0,3,0,2,0,Yes,1,2,0,3,0,"For my own academic research,To fulfill a program requirement,To better understand and engage with the research literature",0,Yes,1
"Friday 1:30-3:30 pm (section 302, Shanti Astra) Brogden 228",0,School of Journalism and Mass communication,0,24,0,Yes,1,4,0,4,0,5 - Very confident,0,3,0,Yes,1,3,0,4,0,For my own academic research,1,Yes,1
"Friday 9:00-11:00 am (section 303, Jamie Jiwon Lee) in Brogden 138",0,Data Science in Human Behavior,0,22,0,Yes,1,2,0,3,0,5 - Very confident,0,3,0,Yes,1,2,0,4,0,"For my own academic research,To fulfill a program requirement,To better understand and engage with the research literature",0,Yes,1
"Friday 9:00-11:00 am (section 301, Coco Yu) in Brogden 228",1,Psychology,0,23,0,Yes,1,3,0,4,0,4,0,3,0,Yes,1,3,0,4,0,"For my own academic research,To fulfill a program requirement,To better understand and engage with the research literature,For fun",0,No,0
"Friday 9:00-11:00 am (section 301, Coco Yu) in Brogden 228",1,Data Science in Human Behavior,0,29,0,Yes,1,1,0,2,0,4,0,2,0,Yes,1,1 - None at all,1,4,0,"For my own industry research/work,To fulfill a program requirement,To better understand and engage with the research literature",0,Yes,1
"Friday 9:00-11:00 am (section 301, Coco Yu) in Brogden 228",1,Neuroscience,0,25,0,Yes,1,1,0,2,0,4,0,2,0,Yes,1,2,0,4,0,"For my own academic research,To better understand and engage with the research literature",0,No,0
"Friday 9:00-11:00 am (section 301, Coco Yu) in Brogden 228",1,Psychology,0,24,0,Yes,1,3,0,4,0,5 - Very confident,0,4,0,Yes,1,4,0,5 - Very confident,0,"For my own academic research,To fulfill a program requirement",0,Yes,1
"Friday 9:00-11:00 am (section 303, Jamie Jiwon Lee) in Brogden 138",0,Psychology,0,30,0,Yes,1,2,0,2,0,2,0,2,0,Yes,1,2,0,4,0,"For my own academic research,For my own industry research/work,To better understand and engage with the research literature",0,No,0
"Friday 1:30-3:30 pm (section 302, Shanti Astra) Brogden 228",0,Neuroscience,0,26,0,Yes,1,2,0,3,0,3,0,3,0,Yes,1,3,0,3,0,"For my own academic research,For my own industry research/work,To fulfill a program requirement,To better understand and engage with the research literature",0,No,0
